date,sentiment_score,sentiment_label,simulated_headline
2017-08-17,0.148,Neutral,Low volatility day ahead of fed meeting.
2017-08-18,-0.712,Negative,Fears of regulatory crackdown loom.
2017-08-19,0.08,Neutral,Sideways trading continues throughout the session.
2017-08-20,-0.32,Negative,Fears of regulatory crackdown loom.
2017-08-21,-0.063,Neutral,Trading sideways with no clear direction.
2017-08-22,0.075,Neutral,Low volatility day ahead of fed meeting.
2017-08-23,0.199,Neutral,Market consolidating around key levels.
2017-08-24,0.458,Positive,Positive regulatory news sparks a rally.
2017-08-25,0.067,Neutral,Trading sideways with no clear direction.
2017-08-26,0.234,Neutral,Market consolidating around key levels.
2017-08-27,-0.243,Neutral,Sideways trading continues throughout the session.
2017-08-28,0.073,Neutral,Market consolidating around key levels.
2017-08-29,0.815,Positive,Market shows strong resilience.
2017-08-30,-0.03,Neutral,Market participants remain undecided.
2017-08-31,0.717,Positive,Bulls taking control of the market.
2017-09-01,0.267,Neutral,Sideways trading continues throughout the session.
2017-09-02,-0.853,Negative,Bears dominating as support levels break.
2017-09-03,0.132,Neutral,Trading sideways with no clear direction.
2017-09-04,-1.0,Negative,Major exchange hack sparks panic selling.
2017-09-05,0.865,Positive,Positive regulatory news sparks a rally.
2017-09-06,1.0,Positive,Positive regulatory news sparks a rally.
2017-09-07,0.138,Neutral,Low volatility day ahead of fed meeting.
2017-09-08,-1.0,Negative,Market bleeds amidst macroeconomic uncertainty.
2017-09-09,-0.198,Neutral,Market participants remain undecided.
2017-09-10,-0.6,Negative,Investors fleeing risk-on assets.
2017-09-11,0.356,Positive,Institutional adoption continues to grow.
2017-09-12,-0.047,Neutral,Sideways trading continues throughout the session.
2017-09-13,-0.672,Negative,Investors fleeing risk-on assets.
2017-09-14,-0.929,Negative,Fears of regulatory crackdown loom.
2017-09-15,0.909,Positive,Market shows strong resilience.
2017-09-16,0.273,Neutral,Low volatility day ahead of fed meeting.
2017-09-17,0.023,Neutral,Trading sideways with no clear direction.
2017-09-18,0.81,Positive,Market shows strong resilience.
2017-09-19,-0.478,Negative,Fears of regulatory crackdown loom.
2017-09-20,-0.126,Neutral,Market consolidating around key levels.
2017-09-21,-1.0,Negative,Market bleeds amidst macroeconomic uncertainty.
2017-09-22,0.106,Neutral,Sideways trading continues throughout the session.
2017-09-23,0.634,Positive,Market shows strong resilience.
2017-09-24,-0.41,Negative,Investors fleeing risk-on assets.
2017-09-25,1.0,Positive,Institutional adoption continues to grow.
2017-09-26,-0.344,Negative,Bears dominating as support levels break.
2017-09-27,0.956,Positive,Record high inflows seen in crypto funds.
2017-09-28,-0.156,Neutral,Trading sideways with no clear direction.
2017-09-29,0.066,Neutral,Low volatility day ahead of fed meeting.
2017-09-30,0.918,Positive,Positive regulatory news sparks a rally.
2017-10-01,-0.067,Neutral,Trading sideways with no clear direction.
2017-10-02,0.045,Neutral,Low volatility day ahead of fed meeting.
2017-10-03,-0.164,Neutral,Market participants remain undecided.
2017-10-04,-0.411,Negative,Investors fleeing risk-on assets.
2017-10-05,0.338,Positive,Institutional adoption continues to grow.
2017-10-06,0.282,Neutral,Sideways trading continues throughout the session.
2017-10-07,0.017,Neutral,Market consolidating around key levels.
2017-10-08,0.893,Positive,Market shows strong resilience.
2017-10-09,0.555,Positive,Bulls taking control of the market.
2017-10-10,-0.17,Neutral,Market participants remain undecided.
2017-10-11,-0.047,Neutral,Market consolidating around key levels.
2017-10-12,1.0,Positive,Positive regulatory news sparks a rally.
2017-10-13,0.768,Positive,Institutional adoption continues to grow.
2017-10-14,0.655,Positive,Positive regulatory news sparks a rally.
2017-10-15,-0.238,Neutral,Market participants remain undecided.
2017-10-16,-0.027,Neutral,Low volatility day ahead of fed meeting.
2017-10-17,-0.536,Negative,Investors fleeing risk-on assets.
2017-10-18,-0.241,Neutral,Low volatility day ahead of fed meeting.
2017-10-19,0.651,Positive,Positive regulatory news sparks a rally.
2017-10-20,0.8,Positive,Bulls taking control of the market.
2017-10-21,0.11,Neutral,Trading sideways with no clear direction.
2017-10-22,-0.044,Neutral,Market participants remain undecided.
2017-10-23,-0.125,Neutral,Low volatility day ahead of fed meeting.
2017-10-24,-0.884,Negative,Investors fleeing risk-on assets.
2017-10-25,0.651,Positive,Record high inflows seen in crypto funds.
2017-10-26,0.699,Positive,Bulls taking control of the market.
2017-10-27,-0.251,Neutral,Trading sideways with no clear direction.
2017-10-28,0.038,Neutral,Sideways trading continues throughout the session.
2017-10-29,0.85,Positive,Market shows strong resilience.
2017-10-30,0.143,Neutral,Low volatility day ahead of fed meeting.
2017-10-31,0.742,Positive,Record high inflows seen in crypto funds.
2017-11-01,0.498,Positive,Market shows strong resilience.
2017-11-02,0.737,Positive,Market shows strong resilience.
2017-11-03,0.266,Neutral,Market consolidating around key levels.
2017-11-04,0.545,Positive,Record high inflows seen in crypto funds.
2017-11-05,-0.019,Neutral,Market participants remain undecided.
2017-11-06,-0.858,Negative,Investors fleeing risk-on assets.
2017-11-07,-0.012,Neutral,Market participants remain undecided.
2017-11-08,0.597,Positive,Positive regulatory news sparks a rally.
2017-11-09,-0.643,Negative,Major exchange hack sparks panic selling.
2017-11-10,-0.835,Negative,Bears dominating as support levels break.
2017-11-11,-0.642,Negative,Major exchange hack sparks panic selling.
2017-11-12,-0.933,Negative,Major exchange hack sparks panic selling.
2017-11-13,1.0,Positive,Institutional adoption continues to grow.
2017-11-14,0.257,Neutral,Market participants remain undecided.
2017-11-15,1.0,Positive,Market shows strong resilience.
2017-11-16,1.0,Positive,Market shows strong resilience.
2017-11-17,-0.348,Negative,Fears of regulatory crackdown loom.
2017-11-18,0.273,Neutral,Sideways trading continues throughout the session.
2017-11-19,0.397,Positive,Bulls taking control of the market.
2017-11-20,0.292,Neutral,Market consolidating around key levels.
2017-11-21,0.014,Neutral,Market participants remain undecided.
2017-11-22,0.068,Neutral,Trading sideways with no clear direction.
2017-11-23,-0.396,Negative,Investors fleeing risk-on assets.
2017-11-24,0.226,Neutral,Market consolidating around key levels.
2017-11-25,0.85,Positive,Positive regulatory news sparks a rally.
2017-11-26,0.886,Positive,Bulls taking control of the market.
2017-11-27,0.738,Positive,Market shows strong resilience.
2017-11-28,0.321,Positive,Institutional adoption continues to grow.
2017-11-29,-0.322,Negative,Major exchange hack sparks panic selling.
2017-11-30,0.319,Positive,Institutional adoption continues to grow.
2017-12-01,0.847,Positive,Positive regulatory news sparks a rally.
2017-12-02,0.286,Neutral,Market consolidating around key levels.
2017-12-03,0.224,Neutral,Market consolidating around key levels.
2017-12-04,0.735,Positive,Bulls taking control of the market.
2017-12-05,0.197,Neutral,Sideways trading continues throughout the session.
2017-12-06,1.0,Positive,Institutional adoption continues to grow.
2017-12-07,1.0,Positive,Positive regulatory news sparks a rally.
2017-12-08,-0.477,Negative,Fears of regulatory crackdown loom.
2017-12-09,-1.0,Negative,Bears dominating as support levels break.
2017-12-10,0.422,Positive,Record high inflows seen in crypto funds.
2017-12-11,1.0,Positive,Positive regulatory news sparks a rally.
2017-12-12,-0.059,Neutral,Market participants remain undecided.
2017-12-13,-0.467,Negative,Major exchange hack sparks panic selling.
2017-12-14,0.135,Neutral,Sideways trading continues throughout the session.
2017-12-15,1.0,Positive,Positive regulatory news sparks a rally.
2017-12-16,1.0,Positive,Positive regulatory news sparks a rally.
2017-12-17,-0.071,Neutral,Trading sideways with no clear direction.
2017-12-18,0.139,Neutral,Market consolidating around key levels.
2017-12-19,-0.987,Negative,Fears of regulatory crackdown loom.
2017-12-20,-0.549,Negative,Fears of regulatory crackdown loom.
2017-12-21,-0.936,Negative,Market bleeds amidst macroeconomic uncertainty.
2017-12-22,-1.0,Negative,Market bleeds amidst macroeconomic uncertainty.
2017-12-23,-0.06,Neutral,Low volatility day ahead of fed meeting.
2017-12-24,0.37,Positive,Record high inflows seen in crypto funds.
2017-12-25,0.042,Neutral,Market participants remain undecided.
2017-12-26,1.0,Positive,Institutional adoption continues to grow.
2017-12-27,-0.173,Neutral,Market consolidating around key levels.
2017-12-28,-0.862,Negative,Fears of regulatory crackdown loom.
2017-12-29,0.341,Positive,Institutional adoption continues to grow.
2017-12-30,-1.0,Negative,Market bleeds amidst macroeconomic uncertainty.
2017-12-31,1.0,Positive,Record high inflows seen in crypto funds.
2018-01-01,-0.349,Negative,Fears of regulatory crackdown loom.
2018-01-02,0.87,Positive,Bulls taking control of the market.
2018-01-03,0.211,Neutral,Trading sideways with no clear direction.
2018-01-04,0.227,Neutral,Low volatility day ahead of fed meeting.
2018-01-05,1.0,Positive,Market shows strong resilience.
2018-01-06,0.05,Neutral,Trading sideways with no clear direction.
2018-01-07,-0.713,Negative,Fears of regulatory crackdown loom.
2018-01-08,-1.0,Negative,Investors fleeing risk-on assets.
2018-01-09,-0.372,Negative,Investors fleeing risk-on assets.
2018-01-10,0.589,Positive,Bulls taking control of the market.
2018-01-11,-0.895,Negative,Major exchange hack sparks panic selling.
2018-01-12,0.654,Positive,Bulls taking control of the market.
2018-01-13,0.425,Positive,Record high inflows seen in crypto funds.
2018-01-14,-0.809,Negative,Market bleeds amidst macroeconomic uncertainty.
2018-01-15,0.076,Neutral,Market consolidating around key levels.
2018-01-16,-1.0,Negative,Major exchange hack sparks panic selling.
2018-01-17,0.264,Neutral,Market participants remain undecided.
2018-01-18,-0.175,Neutral,Trading sideways with no clear direction.
2018-01-19,0.64,Positive,Positive regulatory news sparks a rally.
2018-01-20,1.0,Positive,Positive regulatory news sparks a rally.
2018-01-21,-1.0,Negative,Major exchange hack sparks panic selling.
2018-01-22,-0.818,Negative,Major exchange hack sparks panic selling.
2018-01-23,0.161,Neutral,Trading sideways with no clear direction.
2018-01-24,0.714,Positive,Institutional adoption continues to grow.
2018-01-25,-0.095,Neutral,Sideways trading continues throughout the session.
2018-01-26,0.044,Neutral,Sideways trading continues throughout the session.
2018-01-27,0.635,Positive,Record high inflows seen in crypto funds.
2018-01-28,0.441,Positive,Bulls taking control of the market.
2018-01-29,-0.619,Negative,Bears dominating as support levels break.
2018-01-30,-0.912,Negative,Major exchange hack sparks panic selling.
2018-01-31,0.068,Neutral,Sideways trading continues throughout the session.
2018-02-01,-1.0,Negative,Market bleeds amidst macroeconomic uncertainty.
2018-02-02,-0.764,Negative,Bears dominating as support levels break.
2018-02-03,0.699,Positive,Institutional adoption continues to grow.
2018-02-04,-0.955,Negative,Market bleeds amidst macroeconomic uncertainty.
2018-02-05,-1.0,Negative,Major exchange hack sparks panic selling.
2018-02-06,1.0,Positive,Institutional adoption continues to grow.
2018-02-07,0.075,Neutral,Market participants remain undecided.
2018-02-08,0.421,Positive,Institutional adoption continues to grow.
2018-02-09,0.948,Positive,Institutional adoption continues to grow.
2018-02-10,-0.145,Neutral,Low volatility day ahead of fed meeting.
2018-02-11,-0.631,Negative,Market bleeds amidst macroeconomic uncertainty.
2018-02-12,1.0,Positive,Market shows strong resilience.
2018-02-13,-0.428,Negative,Market bleeds amidst macroeconomic uncertainty.
2018-02-14,1.0,Positive,Institutional adoption continues to grow.
2018-02-15,0.715,Positive,Positive regulatory news sparks a rally.
2018-02-16,0.418,Positive,Market shows strong resilience.
2018-02-17,0.98,Positive,Market shows strong resilience.
2018-02-18,-0.731,Negative,Fears of regulatory crackdown loom.
