date,sentiment_score,sentiment_label,simulated_headline
2019-07-05,-0.878,Negative,Major exchange hack sparks panic selling.
2019-07-06,-1.0,Negative,Fears of regulatory crackdown loom.
2019-07-07,0.219,Neutral,Low volatility day ahead of fed meeting.
2019-07-08,-0.254,Neutral,Market consolidating around key levels.
2019-07-09,0.044,Neutral,Trading sideways with no clear direction.
2019-07-10,-0.509,Negative,Bears dominating as support levels break.
2019-07-11,-0.735,Negative,Investors fleeing risk-on assets.
2019-07-12,0.148,Neutral,Market consolidating around key levels.
2019-07-13,-0.033,Neutral,Trading sideways with no clear direction.
2019-07-14,-0.966,Negative,Major exchange hack sparks panic selling.
2019-07-15,0.809,Positive,Record high inflows seen in crypto funds.
2019-07-16,-0.824,Negative,Investors fleeing risk-on assets.
2019-07-17,0.37,Positive,Positive regulatory news sparks a rally.
2019-07-18,1.0,Positive,Bulls taking control of the market.
2019-07-19,-0.437,Negative,Market bleeds amidst macroeconomic uncertainty.
2019-07-20,0.295,Neutral,Sideways trading continues throughout the session.
2019-07-21,-0.085,Neutral,Market consolidating around key levels.
2019-07-22,-0.592,Negative,Market bleeds amidst macroeconomic uncertainty.
2019-07-23,-0.739,Negative,Investors fleeing risk-on assets.
2019-07-24,0.121,Neutral,Market consolidating around key levels.
2019-07-25,-0.011,Neutral,Sideways trading continues throughout the session.
2019-07-26,-0.027,Neutral,Sideways trading continues throughout the session.
2019-07-27,-0.529,Negative,Major exchange hack sparks panic selling.
2019-07-28,0.151,Neutral,Trading sideways with no clear direction.
2019-07-29,-0.282,Neutral,Market consolidating around key levels.
2019-07-30,-0.049,Neutral,Trading sideways with no clear direction.
2019-07-31,0.363,Positive,Positive regulatory news sparks a rally.
2019-08-01,0.202,Neutral,Market participants remain undecided.
2019-08-02,-0.152,Neutral,Market consolidating around key levels.
2019-08-03,0.138,Neutral,Market consolidating around key levels.
2019-08-04,0.156,Neutral,Low volatility day ahead of fed meeting.
2019-08-05,0.548,Positive,Market shows strong resilience.
2019-08-06,-0.36,Negative,Market bleeds amidst macroeconomic uncertainty.
