date,sentiment_score,sentiment_label,simulated_headline
2017-08-17,0.043,Neutral,Trading sideways with no clear direction.
2017-08-18,-0.42,Negative,Market bleeds amidst macroeconomic uncertainty.
2017-08-19,0.019,Neutral,Trading sideways with no clear direction.
2017-08-20,0.51,Positive,Bulls taking control of the market.
2017-08-21,1.0,Positive,Positive regulatory news sparks a rally.
2017-08-22,-0.597,Negative,Market bleeds amidst macroeconomic uncertainty.
2017-08-23,0.179,Neutral,Low volatility day ahead of fed meeting.
2017-08-24,0.561,Positive,Market shows strong resilience.
2017-08-25,0.324,Positive,Bulls taking control of the market.
2017-08-26,0.284,Neutral,Market participants remain undecided.
2017-08-27,0.549,Positive,Record high inflows seen in crypto funds.
2017-08-28,-0.172,Neutral,Low volatility day ahead of fed meeting.
2017-08-29,0.897,Positive,Bulls taking control of the market.
2017-08-30,0.616,Positive,Bulls taking control of the market.
2017-08-31,0.056,Neutral,Trading sideways with no clear direction.
2017-09-01,0.074,Neutral,Low volatility day ahead of fed meeting.
2017-09-02,-0.996,Negative,Bears dominating as support levels break.
2017-09-03,-0.185,Neutral,Market consolidating around key levels.
2017-09-04,-1.0,Negative,Major exchange hack sparks panic selling.
2017-09-05,1.0,Positive,Positive regulatory news sparks a rally.
2017-09-06,0.844,Positive,Record high inflows seen in crypto funds.
2017-09-07,0.128,Neutral,Trading sideways with no clear direction.
2017-09-08,-1.0,Negative,Market bleeds amidst macroeconomic uncertainty.
2017-09-09,-0.203,Neutral,Low volatility day ahead of fed meeting.
2017-09-10,0.026,Neutral,Trading sideways with no clear direction.
2017-09-11,0.143,Neutral,Sideways trading continues throughout the session.
2017-09-12,-0.124,Neutral,Sideways trading continues throughout the session.
2017-09-13,-0.857,Negative,Major exchange hack sparks panic selling.
2017-09-14,-0.939,Negative,Market bleeds amidst macroeconomic uncertainty.
2017-09-15,1.0,Positive,Bulls taking control of the market.
2017-09-16,-0.423,Negative,Fears of regulatory crackdown loom.
2017-09-17,0.358,Positive,Bulls taking control of the market.
2017-09-18,1.0,Positive,Positive regulatory news sparks a rally.
2017-09-19,-0.755,Negative,Investors fleeing risk-on assets.
2017-09-20,-0.244,Neutral,Low volatility day ahead of fed meeting.
